Longitude	Latitude	Elevation, m	Distance (km)
-157.73645	21.430481	-0.60905457	0.0
-157.73584	21.430723	-1.5553555	0.06832516
-157.73523	21.430964	-2.7432256	0.13665032
-157.73462	21.431206	-3.9481282	0.20497555
-157.73401	21.431448	-3.9990537	0.27330077
-157.73341	21.431688	-3.9932926	0.34162593
-157.7328	21.43193	-5.221156	0.4099512
-157.7322	21.43217	-6.0401287	0.47827643
-157.73158	21.432413	-6.3542504	0.54660165
-157.73099	21.432655	-7.5792837	0.61492693
-157.73038	21.432896	-8.074106	0.6832522
-157.72977	21.433138	-7.934467	0.7515775
-157.72916	21.433378	-9.397072	0.8199029
-157.72855	21.43362	-9.9553995	0.8882281
-157.72795	21.43386	-10.977202	0.9565534
-157.72734	21.434103	-12.153996	1.0248787
-157.72673	21.434345	-13.070112	1.093204
-157.72612	21.434586	-13.0	1.1615293
-157.72552	21.434828	-12.955101	1.2298547
-157.72491	21.435068	-13.0431385	1.29818
-157.7243	21.43531	-13.657626	1.3665053
-157.7237	21.43555	-14.666865	1.4348305
-157.72308	21.435793	-15.075868	1.5031558
-157.72249	21.436035	-14.994528	1.5714811
-157.72188	21.436275	-16.097431	1.6398064
-157.72127	21.436518	-16.684591	1.7081317
-157.72066	21.436758	-17.092848	1.776457
-157.72005	21.437	-16.835215	1.8447822
-157.71945	21.43724	-17.929754	1.9131075
-157.71884	21.437483	-20.679035	1.9814328
-157.71823	21.437725	-24.117071	2.049758
-157.71762	21.437965	-27.65996	2.1180832
-157.71703	21.438208	-28.931973	2.1864085
-157.71642	21.438448	-30.041462	2.254734
-157.7158	21.43869	-32.162304	2.3230593
-157.7152	21.43893	-35.37073	2.3913846
-157.71458	21.439173	-41.690784	2.45971
-157.71399	21.439413	-46.22968	2.5280352
-157.71338	21.439655	-47.49243	2.5963604
-157.71277	21.439896	-49.823914	2.6646857
-157.71216	21.440138	-54.645004	2.733011
-157.71155	21.44038	-59.46748	2.8013363
-157.71095	21.44062	-64.914474	2.8696616
-157.71034	21.440863	-69.35066	2.9379869
-157.70973	21.441103	-72.9777	3.0063121
-157.70912	21.441345	-75.757034	3.0746374
-157.70853	21.441586	-79.061935	3.1429627
-157.70792	21.441828	-83.31278	3.211288
-157.7073	21.442068	-88.66358	3.2796133
-157.7067	21.44231	-95.75106	3.3479385
-157.70609	21.44255	-103.708176	3.4162638
-157.70549	21.442793	-112.47199	3.484589
-157.70488	21.443033	-125.32466	3.5529144
-157.70427	21.443275	-141.01491	3.6212397
-157.70366	21.443518	-158.81618	3.689565
-157.70305	21.443758	-177.70482	3.7578902
-157.70245	21.444	-198.28577	3.8262155
-157.70184	21.44424	-215.92416	3.8945408
-157.70123	21.444483	-228.63379	3.962866
-157.70062	21.444723	-241.15137	4.0311913
-157.70003	21.444965	-251.45636	4.099517
-157.69942	21.445206	-261.4883	4.167842
-157.6988	21.445448	-271.7141	4.236167
-157.6982	21.445688	-281.75818	4.304492
-157.69759	21.44593	-291.63876	4.3728175
-157.69699	21.44617	-302.3381	4.441143
-157.69638	21.446413	-312.9385	4.5094686
-157.69577	21.446653	-324.7941	4.577794
-157.69516	21.446896	-336.27475	4.646119
-157.69455	21.447136	-346.8176	4.714444
-157.69395	21.447378	-355.49466	4.782769
-157.69334	21.447618	-363.21017	4.8510947
-157.69273	21.44786	-369.8348	4.9194202
-157.69212	21.448101	-378.1597	4.9877453
-157.69151	21.448343	-383.356	5.0560703
-157.69092	21.448584	-385.31406	5.1243954
-157.6903	21.448826	-395.8439	5.192721
-157.6897	21.449066	-406.70084	5.2610464
-157.68909	21.449308	-430.65585	5.329372
-157.68849	21.449549	-442.95206	5.3976974
-157.68788	21.449791	-443.6748	5.466023
-157.68727	21.450031	-446.0866	5.534348
-157.68666	21.450274	-450.4295	5.6026735
-157.68605	21.450514	-457.31802	5.670999
-157.68546	21.450756	-463.95398	5.7393246
-157.68484	21.450996	-470.30374	5.80765
-157.68423	21.451239	-476.82962	5.8759756
-157.68362	21.451479	-484.19165	5.9443007
-157.68301	21.451721	-490.76385	6.0126257
-157.68242	21.451962	-497.4142	6.0809507
-157.68181	21.452204	-503.23724	6.1492763
-157.6812	21.452444	-509.409	6.217602
-157.68059	21.452686	-515.46246	6.285927
-157.67998	21.452927	-521.9869	6.3542523
-157.67938	21.453169	-528.6795	6.4225774
-157.67877	21.45341	-536.6848	6.4909024
-157.67816	21.453651	-545.25226	6.5592275
-157.67755	21.453892	-553.86224	6.6275525
-157.67694	21.454134	-562.18884	6.6958776
-157.67635	21.454374	-568.4206	6.7642026
-157.67574	21.454617	-572.41956	6.832528
-157.67513	21.454857	-576.8745	6.900853
-157.67451	21.4551	-580.6095	6.9691787
-157.6739	21.45534	-584.795	7.037504
-157.67331	21.455582	-588.02167	7.1058297
