Longitude	Latitude	Elevation, m	Distance (km)
-157.69962	21.262022	38.27764	0.0
-157.69923	21.26151	12.765876	0.06897463
-157.69885	21.261	-13.894558	0.13794926
-157.69849	21.260489	-19.89524	0.20692389
-157.6981	21.25998	-30.593086	0.27589852
-157.69772	21.259468	-42.85462	0.34487322
-157.69734	21.258957	-53.77464	0.41384777
-157.69698	21.258446	-70.5072	0.48282248
-157.6966	21.257935	-91.18052	0.5517971
-157.69621	21.257425	-86.26711	0.6207717
-157.69583	21.256914	-86.80627	0.6897463
-157.69547	21.256403	-127.93554	0.75872105
-157.69508	21.255892	-165.9277	0.82769567
-157.6947	21.25538	-201.01363	0.8966702
-157.69432	21.25487	-231.26428	0.9656448
-157.69395	21.25436	-258.10168	1.0346195
-157.69357	21.253849	-279.62637	1.1035942
-157.69319	21.253338	-296.5774	1.1725688
-157.69281	21.252827	-310.54468	1.2415434
-157.69244	21.252316	-322.40607	1.310518
-157.69206	21.251806	-333.57663	1.3794928
-157.69168	21.251295	-342.84555	1.4484674
-157.6913	21.250784	-351.12018	1.5174421
-157.69093	21.250273	-359.7001	1.5864168
-157.69055	21.249762	-367.55347	1.6553916
-157.69017	21.249252	-375.71802	1.7243663
-157.68979	21.248741	-383.5992	1.793341
-157.68942	21.24823	-390.60977	1.8623158
-157.68904	21.247719	-397.7277	1.9312904
-157.68866	21.247208	-403.25995	2.0002651
-157.68828	21.246696	-409.50244	2.0692399
-157.68791	21.246187	-415.85678	2.1382146
-157.68753	21.245676	-421.68634	2.2071893
-157.68715	21.245165	-428.62698	2.276164
-157.68677	21.244654	-435.8481	2.3451388
-157.6864	21.244143	-442.29007	2.4141135
-157.68602	21.243631	-448.52744	2.483088
-157.68564	21.243122	-455.15103	2.5520627
-157.68526	21.24261	-460.82755	2.6210375
-157.68489	21.2421	-465.65662	2.6900122
-157.68451	21.241589	-470.76587	2.7589867
-157.68413	21.241077	-475.55606	2.8279612
-157.68376	21.240568	-480.99643	2.8969357
-157.68338	21.240057	-486.97137	2.9659102
-157.683	21.239546	-492.18127	3.034885
-157.68262	21.239035	-496.5134	3.1038597
-157.68225	21.238523	-500.69446	3.1728344
-157.68187	21.238012	-505.83115	3.2418091
-157.68149	21.237503	-510.0069	3.3107839
-157.6811	21.236992	-514.48596	3.3797586
-157.68074	21.23648	-518.5749	3.4487333
-157.68036	21.23597	-522.0334	3.5177078
-157.67998	21.235458	-525.4344	3.5866826
-157.6796	21.234947	-528.6942	3.6556573
-157.67923	21.234438	-531.2515	3.7246318
